%# Absorption coefficients
%# USA model, high latitude, winter, H=0
%# Wavenumber range: 7443-7446 cm-1, T: 296 K, P: 1 atm, step: 0.0001 cm-1, Profile: Voigt, Wing: 50 HW, Scut: 1e-28 cm/mol
%# KNa, Ka and thier units definition in Eqs(2)-(3) of  http://hitran.iao.ru/home.sim-theory.sp-functions.
%# WN,cm-1           KNa,cm-1       Ka,cm**2/molecule (FORMAT F12.6,3X,E17.10,3X,E17.10)
%
 7443.009500    1.1024224658E-07    4.4463780756E-27
 7443.009600    1.1019363679E-07    4.4444175069E-27
 7443.009700    1.1014509903E-07    4.4424598434E-27
 7443.009800    1.1009663367E-07    4.4405051000E-27
 7443.009900    1.1004824107E-07    4.4385532911E-27
 7443.010000    1.0999992158E-07    4.4366044310E-27
 7443.010100    1.0995167556E-07    4.4346585339E-27
 7443.010200    1.0990350334E-07    4.4327156137E-27
 7443.010300    1.0985540527E-07    4.4307756841E-27
 7443.010400    1.0980738168E-07    4.4288387585E-27
 7443.010500    1.0975943291E-07    4.4269048504E-27
 7443.010600    1.0971155928E-07    4.4249739729E-27
 7443.010700    1.0966376110E-07    4.4230461389E-27
 7443.010800    1.0961603871E-07    4.4211213611E-27
 7443.010900    1.0956839240E-07    4.4191996522E-27
 7443.011000    1.0952082248E-07    4.4172810245E-27
 7443.011100    1.0947332926E-07    4.4153654901E-27
 7443.011200    1.0942591303E-07    4.4134530612E-27
 7443.011300    1.0937857410E-07    4.4115437494E-27
 7443.011400    1.0933131273E-07    4.4096375665E-27
 7443.011500    1.0928412923E-07    4.4077345239E-27
 7443.011600    1.0923702387E-07    4.4058346328E-27
 7443.011700    1.0918999691E-07    4.4039379043E-27
 7443.011800    1.0914304865E-07    4.4020443495E-27
 7443.011900    1.0909617933E-07    4.4001539788E-27
 7443.012000    1.0904938923E-07    4.3982668030E-27
 7443.012100    1.0900267859E-07    4.3963828325E-27
 7443.012200    1.0895604767E-07    4.3945020773E-27
 7443.012300    1.0890949673E-07    4.3926245475E-27
 7443.012400    1.0886302600E-07    4.3907502531E-27
 7443.012500    1.0881663573E-07    4.3888792036E-27
