%nu,H2O/x=.0014/T=296K/P=1atm/L=10cm
7443.185,1.05045534607e-06
7443.186,1.0587105958e-06
7443.187,1.06716599915e-06
7443.188,1.07582543441e-06
7443.189,1.0846927421e-06
7443.19,1.09377171069e-06
7443.191,1.10306606105e-06
7443.192,1.11257942956e-06
7443.193,1.12231534972e-06
7443.194,1.13227723243e-06
7443.195,1.14246834464e-06
7443.196,1.15289178644e-06
7443.197,1.16355046661e-06
7443.198,1.17444707646e-06
7443.199,1.18558406204e-06
7443.2,1.19696359462e-06
7443.201,1.20858753956e-06
7443.202,1.22045742342e-06
7443.203,1.23257439952e-06
7443.204,1.24493921175e-06
7443.205,1.25755215699e-06
7443.206,1.27041304587e-06
7443.207,1.28352116225e-06
7443.208,1.29687522142e-06
7443.209,1.31047332703e-06
7443.21,1.32431292716e-06
7443.211,1.33839076948e-06
7443.212,1.35270285581e-06
7443.213,1.36724439624e-06
7443.214,1.38200976318e-06
7443.215,1.3969924454e-06
7443.216,1.41218500262e-06
7443.217,1.42757902071e-06
7443.218,1.44316506809e-06
7443.219,1.45893265353e-06
7443.22,1.47487018592e-06
7443.221,1.49096493623e-06
7443.222,1.50720300245e-06
7443.223,1.52356927769e-06
7443.224,1.54004742214e-06
7443.225,1.55661983949e-06
7443.226,1.57326765825e-06
7443.227,1.58997071872e-06
7443.228,1.60670756616e-06
7443.229,1.6234554509e-06
7443.23,1.64019033594e-06
7443.231,1.65688691286e-06
7443.232,1.67351862662e-06
7443.233,1.69005770985e-06
7443.234,1.70647522745e-06
7443.235,1.72274113189e-06
7443.236,1.73882432983e-06
7443.237,1.75469276054e-06
7443.238,1.7703134864e-06
7443.239,1.78565279581e-06
7443.24,1.80067631858e-06
7443.241,1.81534915378e-06
7443.242,1.82963600983e-06
7443.243,1.8435013565e-06
7443.244,1.85690958812e-06
7443.245,1.86982519736e-06
7443.246,1.8822129584e-06
7443.247,1.89403811837e-06
7443.248,1.90526659562e-06
7443.249,1.91586518304e-06
7443.25,1.92580175481e-06
7443.251,1.93504547423e-06
7443.252,1.94356700087e-06
7443.253,1.95133869436e-06
7443.254,1.95833481275e-06
7443.255,1.96453170284e-06
7443.256,1.96990798022e-06
7443.257,1.9744446965e-06
7443.258,1.97812549165e-06
7443.259,1.98093672913e-06
7443.26,1.98286761205e-06
7443.261,1.98391027841e-06
7443.262,1.9840598743e-06
7443.263,1.98331460349e-06
7443.264,1.9816757529e-06
7443.265,1.97914769334e-06
7443.266,1.97573785532e-06
7443.267,1.9714566802e-06
7443.268,1.96631754732e-06
7443.269,1.9603366779e-06
7443.27,1.95353301703e-06
7443.271,1.94592809534e-06
7443.272,1.93754587195e-06
7443.273,1.92841256112e-06
7443.274,1.91855644436e-06
7443.275,1.90800767082e-06
7443.276,1.89679804811e-06
7443.277,1.88496082624e-06
7443.278,1.87253047717e-06
7443.279,1.85954247248e-06
7443.28,1.84603306153e-06
7443.281,1.83203905251e-06
7443.282,1.81759759834e-06
7443.283,1.80274598969e-06
7443.284,1.78752145656e-06
7443.285,1.77196098023e-06
7443.286,1.75610111677e-06
7443.287,1.73997783327e-06
7443.288,1.72362635757e-06
7443.289,1.70708104218e-06
7443.29,1.69037524275e-06
7443.291,1.67354121123e-06
7443.292,1.65661000386e-06
7443.293,1.63961140349e-06
7443.294,1.62257385624e-06
7443.295,1.60552442164e-06
7443.296,1.5884887359e-06
7443.297,1.57149098737e-06
7443.298,1.55455390357e-06
7443.299,1.53769874872e-06
7443.3,1.5209453311e-06
7443.301,1.50431201903e-06
7443.302,1.48781576481e-06
7443.303,1.47147213549e-06
7443.304,1.4552953496e-06
7443.305,1.43929831909e-06
7443.306,1.42349269538e-06
7443.307,1.40788891899e-06
7443.308,1.39249627183e-06
7443.309,1.37732293147e-06
7443.31,1.36237602687e-06
7443.311,1.34766169488e-06
7443.312,1.33318513696e-06
7443.313,1.31895067582e-06
7443.314,1.30496181142e-06
7443.315,1.29122127604e-06
7443.316,1.27773108812e-06
7443.317,1.26449260461e-06
7443.318,1.25150657161e-06
7443.319,1.23877317315e-06
7443.32,1.22629207801e-06
7443.321,1.21406248437e-06
7443.322,1.20208316242e-06
7443.323,1.19035249466e-06
7443.324,1.1788685141e-06
7443.325,1.16762894017e-06
7443.326,1.15663121252e-06
7443.327,1.14587252268e-06
7443.328,1.1353498436e-06
7443.329,1.12505995719e-06
7443.33,1.11499947993e-06
7443.331,1.10516488659e-06
7443.332,1.09555253215e-06
7443.333,1.08615867203e-06
7443.334,1.07697948071e-06
7443.335,1.06801106877e-06
7443.336,1.05924949855e-06
7443.337,1.05069079841e-06
7443.338,1.04233097572e-06
7443.339,1.03416602867e-06
7443.34,1.02619195699e-06
7443.341,1.01840477156e-06
7443.342,1.01080050316e-06
7443.343,1.00337521025e-06
7443.344,9.96124985984e-07
7443.345,9.89045964394e-07
7443.346,9.82134325946e-07
7443.347,9.75386302402e-07
7443.348,9.68798181104e-07
7443.349,9.62366308713e-07
7443.35,9.56087094443e-07
7443.351,9.49957012847e-07
7443.352,9.43972606182e-07
7443.353,9.38130486397e-07
7443.354,9.32427336781e-07
7443.355,9.26859913299e-07
7443.356,9.21425045658e-07
7443.357,9.16119638114e-07
7443.358,9.10940670076e-07
7443.359,9.05885196504e-07
7443.36,9.00950348158e-07
7443.361,8.96133331692e-07
7443.362,8.91431429649e-07
7443.363,8.86842000355e-07
7443.364,8.82362477747e-07
7443.365,8.77990371163e-07
7443.366,8.73723265107e-07
7443.367,8.69558819011e-07
7443.368,8.65494767029e-07
7443.369,8.61528917866e-07
7443.37,8.57659154684e-07
7443.371,8.53883435089e-07
7443.372,8.50199791231e-07
7443.373,8.46606330037e-07
7443.374,8.43101233595e-07
7443.375,8.39682759705e-07
7443.376,8.36349242625e-07
7443.377,8.3309909402e-07
7443.378,8.29930804123e-07
7443.379,8.26842943132e-07
7443.38,8.23834162815e-07
7443.381,8.20903198351e-07
7443.382,8.18048870352e-07
7443.383,8.15270087052e-07
7443.384,8.12565846604e-07
7443.385,8.0993523939e-07
7443.386,8.07377450239e-07
7443.387,8.04891760409e-07
7443.388,8.02477549099e-07
7443.389,8.00134294277e-07
7443.39,7.97861572469e-07
7443.391,7.95659057137e-07
7443.392,7.93526515184e-07
7443.393,7.9146380104e-07
7443.394,7.89470847737e-07
7443.395,7.8754765431e-07
7443.396,7.85694268835e-07
7443.397,7.83910766435e-07
7443.398,7.82197221627e-07
7443.399,7.80553674519e-07
7443.4,7.78980090555e-07
7443.401,7.77476313815e-07
7443.402,7.76042014238e-07
7443.403,7.74676629609e-07
7443.404,7.73379303689e-07
7443.405,7.72148822434e-07
7443.406,7.70983550841e-07
7443.407,7.69881373478e-07
7443.408,7.6883964218e-07
7443.409,7.67855134682e-07
7443.41,7.66924027997e-07
7443.411,7.66041890204e-07
7443.412,7.65203693815e-07
7443.413,7.64403853236e-07
7443.414,7.63636287813e-07
7443.415,7.62894510811e-07
7443.416,7.62171743318e-07
7443.417,7.61461050637e-07
7443.418,7.60755497295e-07
7443.419,7.60048315469e-07
7443.42,7.5933308046e-07
7443.421,7.58603886013e-07
7443.422,7.57855511786e-07
7443.423,7.57083575227e-07
7443.424,7.56284660575e-07
7443.425,7.55456418577e-07
